# fields: Driver_ID, Order_ID, Timestamp, Longitude, Latitude
5d2d46c7171431674f5782981cf5cb78,26fa5d9f833ab31d37b975075476849b,1480209831,108.91247,34.26923
5d2d46c7171431674f5782981cf5cb78,26fa5d9f833ab31d37b975075476849b,1480209837,108.91284,34.26923
5d2d46c7171431674f5782981cf5cb78,26fa5d9f833ab31d37b975075476849b,1480209828,108.91223,34.26922
5d2d46c7171431674f5782981cf5cb78,26fa5d9f833ab31d37b975075476849b,1480209834,108.91269,34.26923
5d2d46c7171431674f5782981cf5cb78,26fa5d9f833ab31d37b975075476849b,1480209903,108.91834,34.26921
5d2d46c7171431674f5782981cf5cb78,26fa5d9f833ab31d37b975075476849b,1480209882,108.91705,34.26921
5d2d46c7171431674f5782981cf5cb78,26fa5d9f833ab31d37b975075476849b,1480209855,108.91441,34.26921
5d2d46c7171431674f5782981cf5cb78,26fa5d9f833ab31d37b975075476849b,1480209843,108.91329,34.26922
5d2d46c7171431674f5782981cf5cb78,26fa5d9f833ab31d37b975075476849b,1480209879,108.91684,34.26921
5d2d46c7171431674f5782981cf5cb78,26fa5d9f833ab31d37b975075476849b,1480209891,108.91735,34.26921
5d2d46c7171431674f5782981cf5cb78,26fa5d9f833ab31d37b975075476849b,1480209858,108.91472,34.26921
5d2d46c7171431674f5782981cf5cb78,26fa5d9f833ab31d37b975075476849b,1480209861,108.91505,34.26921
5d2d46c7171431674f5782981cf5cb78,26fa5d9f833ab31d37b975075476849b,1480209897,108.91775,34.26921
5d2d46c7171431674f5782981cf5cb78,26fa5d9f833ab31d37b975075476849b,1480209846,108.91355,34.26922
5d2d46c7171431674f5782981cf5cb78,26fa5d9f833ab31d37b975075476849b,1480209888,108.91727,34.26921
5d2d46c7171431674f5782981cf5cb78,26fa5d9f833ab31d37b975075476849b,1480209876,108.91664,34.26921
5d2d46c7171431674f5782981cf5cb78,26fa5d9f833ab31d37b975075476849b,1480209870,108.916,34.26921
5d2d46c7171431674f5782981cf5cb78,26fa5d9f833ab31d37b975075476849b,1480209840,108.91304,34.26922
5d2d46c7171431674f5782981cf5cb78,26fa5d9f833ab31d37b975075476849b,1480209885,108.91713,34.26921
5d2d46c7171431674f5782981cf5cb78,26fa5d9f833ab31d37b975075476849b,1480209867,108.91569,34.26921
5d2d46c7171431674f5782981cf5cb78,26fa5d9f833ab31d37b975075476849b,1480209852,108.9142,34.26921
